"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
94,100,0.250812317345373,0.0560833391178504,0.153202679355515,0.166221494149343,0.211060414304061,0.246644724863949,0.286026452095624,0.34962283498979,0.372090777095231
95,101,0.19489262718344,0.0503210599586717,0.109079923975838,0.120136109412854,0.15901684216584,0.190579208447279,0.226073774828755,0.28436764929152,0.305196931465211
96,102,0.188967304590652,0.0505036365057411,0.103310183845522,0.114243389985424,0.152909344170456,0.184487626762453,0.220150244439576,0.27897741342738,0.300058428331251
97,103,0.168792613603773,0.0487262304506795,0.0872176065373103,0.0973963272763319,0.133889483762222,0.164127792756699,0.198620730166053,0.256107826469831,0.27684856014253
98,104,0.176527640629158,0.050959140418327,0.0912144078738848,0.101859574853173,0.140025053045761,0.171649051450933,0.207722649277528,0.267844127702816,0.289535318460451
99,105,0.185340246339523,0.0535031205578974,0.0957680098414406,0.106944604414589,0.1470153780604,0.18021810843036,0.218092570943455,0.281215431374404,0.303989488876613
100,106,0.211683115960645,0.0587103329804687,0.11271234398671,0.125211837938135,0.169700093969616,0.206280784681306,0.247787832416827,0.316589512156713,0.34132412603632
101,107,0.241354021790349,0.0645045756042471,0.131950489620576,0.145914668654852,0.195299844408587,0.235632459203091,0.281181694413863,0.356317305076796,0.383242532917101
102,108,0.384869984853253,0.0839855161098351,0.238240586616372,0.25789999770232,0.325397583955708,0.378778477276212,0.437709432109383,0.532623750043942,0.566095692168758
103,109,0.352039206284314,0.0829764366690562,0.208640744723329,0.227540629176428,0.293102357465892,0.345541861517724,0.4039025563626,0.498707151068306,0.532335045622491
104,110,0.376899944451094,0.0888361688500671,0.22337479375223,0.243609373518758,0.313801020668594,0.369943762191014,0.432425844449193,0.533925466765213,0.569928137386063
105,111,0.426940204743485,0.0979468003900746,0.257045892885518,0.279577348216806,0.357445185123452,0.419473837693979,0.48830619630614,0.599778414829018,0.639236452269052
106,112,0.434636268980181,0.102444751048502,0.257592998805243,0.280927261342516,0.361871384789413,0.426614487209239,0.498668037523125,0.615716123615524,0.65723394993083
107,113,0.415278640382406,0.103819660095601,0.237367624445335,0.260482404169716,0.341360426289114,0.406659779923212,0.479815304639123,0.599484040220414,0.642130278482111
108,114,0.418173207671449,0.107971857942777,0.234048369919093,0.257771178706804,0.341195990444958,0.408918079989103,0.485077331845655,0.610156134589419,0.654848680767
109,115,0.328844564423739,0.0991503667764904,0.164158021740445,0.184422228637098,0.257688869726774,0.318935054812223,0.389221398459146,0.50708487238463,0.54977896565771
110,116,0.31984076737465,0.101142531347997,0.153376080043072,0.173526592147648,0.247105355301417,0.309244910189666,0.381053365390491,0.502316847223436,0.546441664634697
111,117,0.341296341464625,0.107927379611078,0.163664861789082,0.185167111537859,0.263681688900845,0.329989692466749,0.40661520599161,0.536013290677816,0.583098091261157
112,118,0.326944054361052,0.108981351453684,0.149499640629475,0.170564080909767,0.248391937317989,0.314918005252899,0.392421681324394,0.524369211240877,0.572631221478937
113,119,0.231500067762001,0.0945095069061052,0.0849564448146486,0.100818848390759,0.162791209680381,0.218773783234718,0.286392662983338,0.405628048959657,0.450203277838787
114,120,0.245476714534895,0.100215449057556,0.0900856278500331,0.106905712406092,0.172619609548385,0.231982089914719,0.303683409925934,0.430117544864755,0.477383970489041
115,121,0.216691286226759,0.0969072892269793,0.0703590708092796,0.0853828487923826,0.145989270084276,0.202429050732211,0.271922891677328,0.396697562276641,0.443852604615727
116,122,0.137682243781611,0.0794908805099451,0.0283933886817998,0.0375271977221887,0.0792728198445692,0.122723541333607,0.179923250729044,0.288939664081765,0.331570402904524
117,123,0.145869082182434,0.0842175538644718,0.0300817115795464,0.0397586336354107,0.0839865269125221,0.130020907887776,0.190621816773666,0.306120545744163,0.351286186381881
118,124,0.154728950177791,0.089332801036576,0.0319088293599673,0.0421735130630125,0.0890877418560894,0.137918181684847,0.202199898354639,0.324713845882762,0.372622779396455
119,125,0.16444861745178,0.0949444535536467,0.0339132584220464,0.0448227426627523,0.0946840003974754,0.146581840524837,0.214901566223407,0.345111518959527,0.396029966159376
120,126,0.175236585871603,0.101172890024841,0.0361379968633873,0.0477631524991405,0.100895350921295,0.156197733263888,0.228999290763222,0.367751126549687,0.422009866960207
121,127,0.124873240712378,0.0882987152964625,0.015122728771196,0.0221875717326941,0.0600189971890642,0.104790313841623,0.168118999838252,0.296190867955948,0.347874583160121
122,128,0.334813241771764,0.149733033673747,0.108712948249578,0.131926432731451,0.225570403092537,0.312776429013891,0.420152496483709,0.61294387578561,0.685803901060981
123,129,0.504462941786667,0.190669069945082,0.202820266317916,0.236760002661584,0.366287436174652,0.480654962753828,0.616775619728945,0.85343567837451,0.941145811940905
124,130,0.778211842009703,0.246092192286577,0.373182827036973,0.422211496118335,0.601237657406956,0.752430821018282,0.927149605782349,1.22219854010155,1.32955963643026
125,131,0.842660159805745,0.266472539846763,0.404088300501362,0.457177323172195,0.651029697984807,0.814744060235116,1.00393233923912,1.32341601800436,1.43966832066226
126,132,0.913594250152986,0.288903868771707,0.438103954003522,0.495661944960986,0.705832572997003,0.883328207837298,1.08844212224645,1.43481954206529,1.56085781982104
127,133,1.0883592769356,0.328152668972534,0.543305029711208,0.61037239208152,0.852859077727657,1.05556230267368,1.28818525718128,1.67827169660121,1.8195740549526
128,134,1.1740936750756,0.354002562632293,0.586103332363509,0.658453858179486,0.920042186538103,1.13871315243151,1.38966074423572,1.81047584726426,1.96290915557468
129,135,0.914945584104547,0.323482113468506,0.395008562294279,0.455279528665829,0.681189550564623,0.877118238851546,1.10759082049763,1.50372608285491,1.64949539164538
130,136,0.60701518524584,0.271465443516865,0.197096178368367,0.239182141003533,0.408958317462646,0.567062524151369,0.761734942545717,1.11126500952115,1.24335996940237
131,137,0.254885411273228,0.180231202736822,0.0308678057879352,0.045288232402552,0.122507966442365,0.21389308140479,0.343156629652272,0.604570929397228,0.710065308583612
132,138,0.264593573149992,0.187095909832738,0.0320435092300146,0.047013185937869,0.127174091362872,0.222039913537021,0.356226895592984,0.627598031730213,0.737110516563029
133,139,0.272178137850562,0.19245900696486,0.0329620352021123,0.0483608171228623,0.130819531849936,0.228404679204916,0.366438125992662,0.645588105415451,0.758239761456571
134,140,0.13921325365527,0.13921325365527,0.00352457442491236,0.0071407064023885,0.0400491573243035,0.0964952742677268,0.192990548535454,0.41704563688155,0.513540911149277
